S.no,filename,content
1,image1.png,"கழுகுமலை வெட்டுவான் கோயில் என்பது தமிழ்நாட்டில் தூத்துக்குடி மாவட்டத்தில், கழுகுமலையில் அமைந்துள்ள ஒரு சிறிய கோயில் ஆகும். இக்கோவில் திராவிடக் கட்டிடக்கலையைப் பயன்படுத்தி சுமார் கி.பி. 800-ல் பாண்டிய மன்னன் ஆட்சிக்காலத்தில் உருவாக்கப்பட்டது. தமிழகத்தில் உள்ள மிகச் சிறந்த குகைக்கோயில்களில் கழுகுமலை வெட்டுவான் கோயிலும் ஒன்றாகும். இக்கோயில் 8ஆம் நூற்றாண்டில் பாண்டிய மன்னர்களால் செதுக்கப்பட்டதாகும். மிகவும் நுணுக்கமான சிற்பங்களைக் கொண்டு இக்கோயில் அமைந்துள்ளது."
2,image2.png,"மாமல்லபுரம் வராக மண்டபம் என்பது, சென்னைக்குத் தெற்கே கிழக்குக் கடற்கரையோரமாக மாமல்லபுரத்தில் அமைந்துள்ள பல குடைவரைகளுள் ஒன்று. பாறை ஒன்றின் மேற்குப் புறத்தில் குடையப்பட்டு உள்ளது.கருவறையின் இரண்டு பக்கங்களிலும் வாயிற் காவலர் சிற்பங்கள் உள்ளன. மண்டபச் சுவர்களிலும் புடைப்புச் சிற்பங்கள் உள்ளன. பூமாதேவியைத் தாங்கி நிற்கும் வராகமூர்த்தி சிற்பம் வடக்குச் சுவரில் செதுக்கப்பட்டுள்ளது. தெற்குச் சுவரில் திருவிக்கிரமன், மூவுலகு அளந்த பெருமான் சிற்பத் தொகுதி உள்ளது. "
3,image3.png,"தமிழ்நாட்டிலுள்ள பல்லவர் காலக் குடைவரைகளுள் ஒன்றான சாளுவன்குப்பம் அதிரணசண்ட பல்லவேஸ்வரம் சென்னையில் இருந்து மாமல்லபுரம் நோக்கிச் செல்லும் சாலைக்கு அண்மையில், சாளுவன்குப்பம் என்னும் ஊரில் அமைந்துள்ளது.இங்கே காணப்படும் கிரந்தம் மற்றும் நாகரி எழுத்துக்களிலான கல்வெட்டுக்கள் இக்கோயிலை அதிரணசண்ட பல்லவேஸ்வர கிருஹம் எனக் குறிப்பிடுகின்றன. அதிரணசண்டன் என்னும் விருதுப் பெயர் கொண்ட இராஜசிம்ம பல்லவன் காலத்திலேயே இக் குடைவரை அமைக்கப்பட்டது என்பது கருத்து."
4,image4.png,"சாளுவன்குப்பம் புலிக்குடைவரை என அழைக்கப்படும் குடைவரை ஒன்று தமிழ் நாட்டிலுள்ள மாமல்லபுரத்துக்கு வடக்கே சென்னை நோக்கிச் செல்லும் பாதைக்கு அருகே சாளுவன்குப்பம் என்னும் ஊரில் அமைந்துள்ளது. கடற்கரையை அண்டி அமைந்துள்ள சிறிய பாறையொன்றைக் குடைந்து இது உருவாக்கப்பட்டுள்ளது. இந்தக் குடைவரை நிகழ்ச்சிகள் நடத்துவதற்கான ஒரு மேடை போன்ற அமைப்பில் உள்ளது.இக்குடைவரையில் அதிட்டானம், தூண்கள், கபோதம், கூடு, சாலை, நாசிகம் போன்ற அமைப்புக்கள் உள்ளன.முகப்பில் இந்த மண்டபத்தைச் சுற்றி 11 யாளித் தலைகள் அரை வட்ட அமைப்பில் செதுக்கப்பட்டுள்ளன. "
5,image5.png,"சித்தன்னவாசல் குகை ஓவியங்கள், இந்தியாவின் மாநிலமான தமிழ்நாட்டின் புதுக்கோட்டை மாவட்டத்தில் உள்ள சித்தன்னவாசல் என்ற கிராமத்தில் அமைந்துள்ளது. சமணர் காலத்து ஓவியங்களான இவை கி.பி 7 மற்றும் 8 ஆம் நூற்றாண்டை சேர்ந்தவை. குன்றுகளால் சூழப்பட்ட சித்தன்னவாசல் ஓவியங்கள், சமணர்களால் மூலிகையால் தயாரிக்கப்பட்ட வர்ணங்களை கொண்டு வரையப்பட்டவை. இந்தியாவின் வட பகுதியில் காணப்படும் அஜந்தா ஓவியங்களை போன்று தனிச்சிறப்பு மிக்க இந்த ஓவியங்கள் சுமார் 1000 - 1200 ஆண்டு பழமையானவை.சிறு மற்றும் பெரும் பாறைகளும் உள்ள இடம் சமண முனிவர்கள் தவம் செய்த இடமாக அறியப்படுகிறது."
6,image6.png,"மாமல்லபுரத்தில் உள்ள மகிடாசுரமர்த்தினி மண்டபம் கலங்கரை விளக்கத்துக்குச் செல்லும் வழியில் குன்றின்மீது அமைந்துள்ள ஒரு குடைவரையாகும். இம்மண்டபம் குடையப்பட்டுள்ள பாறைக்கு மேல், ஒலக்கனேஸ்வரர் கோயில் எனும் பெயர் கொண்ட கட்டுமானக் கோயில் அமைந்துள்ளது.மூன்று கருவறைகளைக் கொண்டு அமைக்கப்பட்டுள்ள இக்குடைவரையின் நடுவில் உள்ள கருவறையின் பின்புறச் சுவரில் பெரும்பாலான பல்லவர் கோயில்களில் காணப்படுவதுபோலச் சோமாஸ்கந்தரின் புடைப்புச் சிற்பம் செதுக்கப்பட்டுள்ளது. "
7,image7.png,மலையடிப்பட்டி பள்ளிகொண்டபெருமாள் கோயில் புதுக்கோட்டை மாவட்டம் குளத்தூர் வட்டத்தில் அமைந்துள்ள வைணவத் திருக்கோயில். இவற்றில் ஒன்று சிவனுக்கும் மற்றொன்று திருமாலுக்கும் உரியது. இவை இரட்டைக் கோயிலாகக் கருதப்படுகிறது. மலையைக் குடைந்து பாறையிலே பள்ளிகொண்ட பெருமாள் ஆதிசேஷ சயனப்படுக்கையில் இருப்பதுபோல செதுக்கப்பட்டுள்ளது. கல்வெட்டுகள் மூலமாக கி.பி.7-8ஆம் நூற்றாண்டைச் சேர்ந்ததாகக் கருதப்படுகிறது.
8,image8.png,"மாமண்டூர் குகைகள் என்பது திருவண்ணாமலை மாவட்டம். வெம்பாக்கம் வட்டத்தில் உள்ள மாமண்டூர் என்ற கிராமத்தில் அமைந்துள்ள குகைகள் ஆகும். இது பல்லவர் காலத்திய குடைவரைக் குகைகள் ஆகும். இங்கு காணப்படும் கல்வெட்டுகளில் இக்கோயில்கள், ஏழாம் நூற்றாண்டின் பல்லவ அரசன் மகேந்திரவர்மனால் அமைக்கப்பட்டதாக காணப்படுகிறது. முதல் குகையில் காணப்படும் முதன்மைக் கடவுள் நரசிம்மர். இரண்டாவது குகை சைவ ருத்திரவலீசுவரம் குகை என பிந்தைய கல்வெட்டுகளிலிருந்து அறியப்படுகிறது."
9,image9.png,ஏழடிப்பட்டம் சமணர் படுக்கைகள் கல்வெட்டுகள் புதுக்கோட்டையில் இருந்து விராலிமலைக்குச் செல்லும் வழியில் அமைந்து உள்ளன.இங்குதான் சமண முனிவர்கள் தங்கி இருந்தார்கள். இக்குகைக்குச் செல்ல மேற்குப்பகுதியில் இருந்து குன்றின் மீதேறி குகை வாயிலின் ஏழு படிக்கட்டுகளைக்கடந்து குகையின் உள்ளே செல்வதால் இவ்விடம் ‘ஏழடிப்பட்டம்’ என்று அழைக்கப்பெறுகின்றது. இந்த இயற்கைக்குகையில் பளிங்கினை ஒத்த வழுவழுப்பான தலையணை போன்ற அமைப்புடன் ஆன 17 எண்ணிக்கையிலான கற்படுக்கைகள் இங்கு காணப்பெறுகின்றன.
10,image10.png,"சீயமங்கலம் குடைவரைக் கோயில் திருவண்ணாமலை மாவட்டத்தின் வந்தவாசி வட்டத்தில் உள்ள தெள்ளாறு ஊராட்சி ஒன்றியத்தில் உள்ள சீயமங்கலம் கிராமத்தில் உள்ள ஒரு குடைவரைக் கோயில். இக்குடைவரைக்கு முன்னுள்ள ஏரியின் நடுவில் தூண்போன்ற அமைப்பில் நிலைக்குத்தாகப் பாறைகள் காணப்படுவதால், இக்குடைவரைக் கோயிலில் உள்ள இறைவனை வடமொழியில் ""ஸ்தம்பேஸ்வரர்"" எனவும் தமிழில் ""தூணாண்டவர்"" என்றும் அழைப்பதுண்டு.இக்குடைவரையில் காணப்படும் கல்வெட்டு இக்கோயில் அக்காலத்தில் ""அவனிபாஜன பல்லவேஸ்வரம்"" என அழைக்கப்பட்டதைக் காட்டுகின்றன."
